% Online Avg GM	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	66.40%	89.20%	88.20%	89.50%	79.30%	65.90%	78.00%	98.60%										
% Online Avg OM	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	37.10%	80.10%	79.40%	80.90%	63.90%	26.50%	62.40%	97.10%										
% Online Orders	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.40%	18.10%	20.60%	21.80%	22.00%	28.40%	33.80%	52.70%										
% Online Revenue	0.90%	0.60%	0.10%	0.30%	0.10%	0.00%	0.40%	1.30%	0.60%	1.20%	1.60%	2.10%	2.10%	1.80%										
Online Repeat Orders	  -   	  -   	  -   	  -   	  -   	  -   	2	3	2	6	5	8	9	3										
Online Repeat Revenue	$0 	$0 	$0 	$0 	$0 	$0 	"$1,544 "	"$1,369 "	$212 	"$1,144 "	"$4,688 "	"$4,116 "	"$5,670 "	$371 										
% Online Repeat Orders	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	15.80%	10.00%	22.20%	22.70%	34.80%	20.00%	7.70%										
% Online Repeat Revenue	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	25.20%	7.90%	17.80%	80.50%	74.50%	59.10%	8.60%										
																								
Offline Business																								
Offline Orders	68	64	71	86	87	79	80	86	77	97	78	58	88	35										
Offline Tons	258	407	605	555	810	638	690	714	702	928	625	442	764	420										
Offline Revenue	"$142,952 "	"$207,255 "	"$325,919 "	"$303,528 "	"$452,532 "	"$372,643 "	"$414,885 "	"$414,651 "	"$418,657 "	"$529,654 "	"$354,887 "	"$257,009 "	"$444,498 "	"$236,696 "										
Offline Tons/Order	3.8	6.4	8.5	6.5	9.3	8.1	8.6	8.3	9.1	9.6	8	7.6	8.7	12										
Offline Revenue/Order	"$2,102 "	"$3,238 "	"$4,590 "	"$3,529 "	"$5,202 "	"$4,717 "	"$5,186 "	"$4,822 "	"$5,437 "	"$5,460 "	"$4,550 "	"$4,431 "	"$5,051 "	"$6,763 "										
Offline Avg Price	$0.28 	$0.25 	$0.27 	$0.27 	$0.28 	$0.29 	$0.30 	$0.29 	$0.30 	$0.29 	$0.28 	$0.29 	$0.29 	$0.28 										
Offline Avg GM	$0.19 	$0.07 	$0.15 	$0.12 	$0.15 	$0.16 	$0.17 	$0.16 	$0.15 	$0.18 	$0.08 	$0.06 	$0.07 	$0.27 										
Offline Avg OM	($0.12)	($0.12)	$0.02 	($0.06)	$0.03 	($0.01)	$0.06 	$0.06 	$0.04 	$0.10 	($0.08)	($0.21)	($0.08)	$0.26 										
% Offline Avg GM	68.00%	25.70%	56.80%	43.90%	52.10%	53.90%	58.00%	56.40%	49.80%	63.50%	26.70%	19.40%	25.40%	95.80%										
% Offline Avg OM	-41.70%	-48.00%	6.20%	-20.90%	12.40%	-2.50%	21.30%	20.00%	12.00%	33.80%	-27.50%	-73.60%	-27.30%	91.20%										
% Offline Orders	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	97.60%	81.90%	79.40%	78.20%	78.00%	71.60%	66.20%	47.30%										
% Offline Revenue	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.60%	98.70%	99.40%	98.80%	98.40%	97.90%	97.90%	98.20%										
Offline First Orders	10	11	8	15	13	4	4	8	6	7	9	5	7	3										
Offline First Revenue	$671 	"$1,923 "	"$4,841 "	"$2,801 "	"$18,400 "	"$15,532 "	$783 	"$5,347 "	"$19,859 "	"$18,763 "	"$7,062 "	"$2,930 "	"$2,059 "	"$1,811 "										
% Offline First Orders	14.70%	17.20%	11.30%	17.40%	14.90%	5.10%	5.00%	9.30%	7.80%	7.20%	11.50%	8.60%	8.00%	8.60%										
% Offline First Revenue	0.50%	0.90%	1.50%	0.90%	4.10%	4.20%	0.20%	1.30%	4.70%	3.50%	2.00%	1.10%	0.50%	0.80%										
																								
New Business																								
First Orders	10	11	8	15	13	4	4	24	24	28	26	20	43	39										
First Tons	0.4	2.3	6.4	2.4	24.5	24	0.8	8.1	26.1	28.1	8.8	4.4	4.1	4.5										
First Revenue	$671 	"$1,923 "	"$4,841 "	"$2,801 "	"$18,400 "	"$15,532 "	$783 	"$9,420 "	"$22,321 "	"$24,039 "	"$8,200 "	"$4,342 "	"$5,990 "	"$5,762 "										
First Tons/Order	0	0.2	0.8	0.2	1.9	6	0.2	0.3	1.1	1	0.3	0.2	0.1	0.1										
First Revenue/Order	$67 	$175 	$605 	$187 	"$1,415 "	"$3,883 "	$196 	$393 	$930 	$859 	$315 	$217 	$139 	$148 										
First Avg Price	$0.90 	$0.41 	$0.38 	$0.60 	$0.38 	$0.32 	$0.47 	$0.58 	$0.43 	$0.43 	$0.46 	$0.50 	$0.73 	$0.64 										
First Avg GM	$0.81 	$0.22 	$0.26 	$0.44 	$0.24 	$0.19 	$0.35 	$0.46 	$0.28 	$0.32 	$0.26 	$0.27 	$0.51 	$0.63 										
First Avg OM	$0.50 	$0.04 	$0.12 	$0.27 	$0.13 	$0.02 	$0.24 	$0.35 	$0.17 	$0.24 	$0.10 	($0.01)	$0.36 	$0.62 										
% First Avg GM	90.10%	54.20%	69.10%	74.30%	64.40%	58.40%	73.30%	78.30%	65.00%	75.70%	55.20%	53.10%	70.10%	98.10%										
% First Avg OM	56.10%	8.80%	33.00%	44.60%	34.80%	7.50%	50.10%	60.20%	38.70%	55.90%	22.10%	-1.10%	49.00%	96.10%										
% First Orders	14.70%	17.20%	11.30%	17.40%	14.90%	5.10%	4.90%	22.90%	24.70%	22.60%	26.00%	24.70%	32.30%	52.70%										
% First Revenue	0.50%	0.90%	1.50%	0.90%	4.10%	4.20%	0.20%	2.20%	5.30%	4.50%	2.30%	1.70%	1.30%	2.40%										
																								
Repeat Business																								
Repeat Orders	58	53	63	71	74	75	78	81	73	96	74	61	90	35										
Repeat Tons	258	404	599	553	786	614	691	708	677	903	619	442	765	418										
Repeat Revenue	"$142,281 "	"$205,332 "	"$321,078 "	"$300,727 "	"$434,132 "	"$357,111 "	"$415,646 "	"$410,673 "	"$399,010 "	"$512,035 "	"$352,513 "	"$258,195 "	"$448,109 "	"$235,256 "										
Repeat Tons/Order	4.4	7.6	9.5	7.8	10.6	8.2	8.9	8.7	9.3	9.4	8.4	7.2	8.5	11.9										
Repeat Revenue/Order	"$2,453 "	"$3,874 "	"$5,096 "	"$4,236 "	"$5,867 "	"$4,761 "	"$5,329 "	"$5,070 "	"$5,466 "	"$5,334 "	"$4,764 "	"$4,233 "	"$4,979 "	"$6,722 "										
Repeat Avg Price	$0.28 	$0.25 	$0.27 	$0.27 	$0.28 	$0.29 	$0.30 	$0.29 	$0.29 	$0.28 	$0.28 	$0.29 	$0.29 	$0.28 										
Repeat Avg GM	$0.19 	$0.07 	$0.15 	$0.12 	$0.14 	$0.16 	$0.17 	$0.16 	$0.15 	$0.18 	$0.08 	$0.06 	$0.08 	$0.27 										
Repeat Avg OM	($0.12)	($0.12)	$0.02 	($0.06)	$0.03 	($0.01)	$0.06 	$0.06 	$0.03 	$0.10 	($0.08)	($0.21)	($0.08)	$0.26 										
% Repeat Avg GM	67.90%	25.40%	56.60%	43.60%	51.60%	53.70%	58.00%	56.30%	49.20%	63.30%	26.90%	19.80%	26.00%	95.80%										
% Repeat Avg OM	-42.20%	-48.50%	5.70%	-21.50%	11.40%	-2.90%	21.30%	19.90%	11.00%	33.40%	-27.20%	-72.60%	-26.40%	91.20%										
% Repeat Orders	85.30%	82.80%	88.70%	82.60%	85.10%	94.90%	95.10%	77.10%	75.30%	77.40%	74.00%	75.30%	67.70%	47.30%										
% Repeat Revenue	99.50%	99.10%	98.50%	99.10%	95.90%	95.80%	99.80%	97.80%	94.70%	95.50%	97.70%	98.30%	98.70%	97.60%										
																								
Distributor Orders																								
Distributor Orders	36	30	42	48	56	52	47	55	38	62	50	36	56	25										
Distributor Tons	161	299	475	428	604	381	444	458	367	515	347	182	565	303										
Distributor Revenue	"$84,428 "	"$141,383 "	"$242,653 "	"$225,088 "	"$319,412 "	"$215,091 "	"$266,511 "	"$255,744 "	"$209,179 "	"$282,908 "	"$188,424 "	"$105,426 "	"$326,413 "	"$165,414 "										
Distributor Tons/Order	4.5	10	11.3	8.9	10.8	7.3	9.5	8.3	9.7	8.3	6.9	5.1	10.1	12.1										
Distributor Revenue/Order	"$2,345 "	"$4,713 "	"$5,777 "	"$4,689 "	"$5,704 "	"$4,136 "	"$5,670 "	"$4,650 "	"$5,505 "	"$4,563 "	"$3,768 "	"$2,928 "	"$5,829 "	"$6,617 "										
Distributor Avg Price	$0.26 	$0.24 	$0.26 	$0.26 	$0.26 	$0.28 	$0.30 	$0.28 	$0.28 	$0.27 	$0.27 	$0.29 	$0.29 	$0.27 										
Distributor Avg GM	$0.17 	$0.05 	$0.14 	$0.11 	$0.13 	$0.15 	$0.17 	$0.15 	$0.14 	$0.17 	$0.06 	$0.06 	$0.07 	$0.26 										
Distributor Avg OM	($0.13)	($0.14)	$0.00 	($0.07)	$0.02 	($0.02)	$0.06 	$0.05 	$0.02 	$0.09 	($0.09)	($0.22)	($0.08)	$0.25 										
% Distributor Avg GM	66.20%	20.00%	54.50%	41.60%	49.50%	52.40%	57.90%	54.60%	47.50%	62.10%	23.20%	19.00%	24.90%	95.70%										
% Distributor Avg OM	-49.60%	-59.30%	1.20%	-25.70%	7.50%	-5.90%	21.10%	16.70%	7.90%	31.30%	-33.60%	-74.30%	-28.30%	90.90%										
% Distributor Orders	52.90%	46.90%	59.20%	55.80%	64.40%	65.80%	57.30%	52.40%	39.20%	50.00%	50.00%	44.40%	42.10%	33.80%										
% Distributor Revenue	59.10%	68.20%	74.50%	74.20%	70.60%	57.70%	64.00%	60.90%	49.60%	52.80%	52.20%	40.20%	71.90%	68.60%										
																								
Large Direct Orders																								
Large Direct Orders	3	3	4	3	7	11	10	10	13	17	11	11	8	5										
Large Direct Tons	72	72	96	72	160	248	230	228	294	384	248	248	184	114										
Large Direct Revenue	"$40,320 "	"$40,320 "	"$53,760 "	"$40,320 "	"$101,480 "	"$149,880 "	"$135,400 "	"$137,800 "	"$179,600 "	"$222,916 "	"$145,172 "	"$142,048 "	"$104,624 "	"$68,152 "										
Large Direct Tons/Order	24	24	24	24	22.9	22.5	23	22.8	22.6	22.6	22.5	22.5	23	22.8										
Large Direct Revenue/Order	"$13,440 "	"$13,440 "	"$13,440 "	"$13,440 "	"$14,497 "	"$13,625 "	"$13,540 "	"$13,780 "	"$13,815 "	"$13,113 "	"$13,197 "	"$12,913 "	"$13,078 "	"$13,630 "										
Large Direct Avg Price	$0.28 	$0.28 	$0.28 	$0.28 	$0.32 	$0.30 	$0.29 	$0.30 	$0.31 	$0.29 	$0.29 	$0.29 	$0.28 	$0.30 										
Large Direct Avg GM	$0.19 	$0.09 	$0.16 	$0.13 	$0.18 	$0.17 	$0.17 	$0.18 	$0.16 	$0.19 	$0.09 	$0.05 	$0.07 	$0.29 										
Large Direct Avg OM	($0.11)	($0.10)	$0.03 	($0.05)	$0.07 	$0.00 	$0.06 	$0.07 	$0.04 	$0.10 	($0.07)	($0.22)	($0.09)	$0.27 										
% Large Direct Avg GM	68.30%	32.40%	58.40%	45.20%	57.80%	55.50%	57.00%	58.10%	51.00%	64.10%	28.90%	18.20%	23.70%	96.00%										
% Large Direct Avg OM	-40.20%	-34.70%	9.80%	-18.00%	22.80%	1.00%	19.60%	23.10%	14.10%	35.00%	-23.70%	-76.10%	-30.30%	91.70%										
% Large Direct Orders	4.40%	4.70%	5.60%	3.50%	8.00%	13.90%	12.20%	9.50%	13.40%	13.70%	11.00%	13.60%	6.00%	6.80%										
% Large Direct Revenue	28.20%	19.50%	16.50%	13.30%	22.40%	40.20%	32.50%	32.80%	42.60%	41.60%	40.20%	54.10%	23.00%	28.30%										
																								
Medium Direct Orders																								
Medium Direct Orders	8	9	11	12	9	6	8	11	13	13	12	8	11	3										
Medium Direct Tons	23	34	33	53	45	7.3	15	24	37	30	31	14	16	4										
Medium Direct Revenue	"$15,680 "	"$23,100 "	"$27,520 "	"$35,440 "	"$29,520 "	"$5,140 "	"$12,000 "	"$19,285 "	"$27,364 "	"$25,908 "	"$24,870 "	"$11,501 "	"$16,686 "	"$3,496 "										
Medium Direct Tons/Order	2.9	3.8	3	4.4	5	1.2	1.9	2.2	2.8	2.3	2.6	1.8	1.5	1.3										
Medium Direct Revenue/Order	"$1,960 "	"$2,567 "	"$2,502 "	"$2,953 "	"$3,280 "	$857 	"$1,500 "	"$1,753 "	"$2,105 "	"$1,993 "	"$2,073 "	"$1,438 "	"$1,517 "	"$1,165 "										
Medium Direct Avg Price	$0.34 	$0.34 	$0.42 	$0.33 	$0.33 	$0.35 	$0.40 	$0.40 	$0.37 	$0.43 	$0.40 	$0.41 	$0.52 	$0.44 										
Medium Direct Avg GM	$0.25 	$0.15 	$0.30 	$0.18 	$0.19 	$0.22 	$0.27 	$0.28 	$0.22 	$0.33 	$0.19 	$0.18 	$0.31 	$0.43 										
Medium Direct Avg OM	($0.05)	($0.04)	$0.16 	$0.00 	$0.08 	$0.06 	$0.16 	$0.17 	$0.11 	$0.24 	$0.04 	($0.09)	$0.15 	$0.41 										
% Medium Direct Avg GM	74.00%	44.20%	72.10%	54.10%	59.20%	62.00%	68.40%	68.50%	59.50%	75.90%	48.10%	43.00%	58.40%	97.30%										
% Medium Direct Avg OM	-15.20%	-11.00%	39.40%	1.20%	25.40%	15.60%	40.80%	42.20%	29.00%	56.30%	9.70%	-22.80%	29.00%	94.30%										
% Medium Direct Orders	11.80%	14.10%	15.50%	14.00%	10.30%	7.60%	9.80%	10.50%	13.40%	10.50%	12.00%	9.90%	8.30%	4.10%										
% Medium Direct Revenue	11.00%	11.10%	8.40%	11.70%	6.50%	1.40%	2.90%	4.60%	6.50%	4.80%	6.90%	4.40%	3.70%	1.50%										
																								
Small Direct Orders																								
Small Direct Orders	21	22	14	23	15	10	17	29	33	32	27	26	58	41										
Small Direct Tons	2.1	2	1.9	2.1	1.8	2.5	2.5	5.7	4.6	2.6	1.4	2	3.7	1.8										
Small Direct Revenue	"$2,525 "	"$2,452 "	"$1,986 "	"$2,680 "	"$2,120 "	"$2,532 "	"$2,518 "	"$7,264 "	"$5,188 "	"$4,342 "	"$2,247 "	"$3,562 "	"$6,376 "	"$3,956 "										
Small Direct Tons/Order	0.1	0.1	0.1	0.1	0.1	0.3	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0										
